time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_ref_1,ddq_ref_2,ddq_ref_3,ddq_ref_4,ddq_ref_5,ddq_ref_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.0,-0.215791916,0.277270711,-1.65022352,-0.560586932,0.414489641,0.521540654,-0.215791916,0.277270711,-1.65022352,-0.560586932,0.414489641,0.521540654,-0.063358156,0.004286534,0.069372219,-0.215037536,-0.023571965,0.210759933,-0.063358156,0.004286534,0.069372219,-0.215037536,-0.023571965,0.210759933,0.008306000000001035,0.001784000000000674,-0.03339649999998784,0.018970999999936566,0.05648249999999777,-0.014775999999983469,0.007219857329365298,-27.043106029311353,13.135406954039729,2.0853624335204444,0.07682952429301743,0.0004927712843620361,0.641440000115125,-3.0843468548646944e-10,0.5414400001419244,0.641440000115125,-3.0843468548646944e-10,0.5414400001419244
0.001,-0.21585527,0.277274998,-1.650154166,-0.560801959,0.414466097,0.521751405,-0.21585526584999998,0.277274999318,-1.6501541811774998,-0.5608019505650004,0.4144661255174963,0.5217513991569679,-0.063350884,0.004287274,0.069336063,-0.215014954,-0.02351588,0.210740669,-0.06334984999998508,0.004288317999999346,0.06933882250011089,-0.21501856500037805,-0.023515482503730856,0.21074515696785345,0.006237999999999744,-0.000304000000000304,-0.03891549999999455,0.02619299999999214,0.055687499999999446,-0.02375200000000177,0.005096148579004876,-27.04442086564262,13.13438669912416,2.085058327826884,0.07676599403089536,0.0004916822902135389,0.6414399938400861,-5.000126548845188e-05,0.5414399946572048,0.6414399921964453,-4.9996452167989094e-05,0.54143999037071
0.002,-0.215918617,0.277279285,-1.650084848,-0.561016962,0.414442609,0.521962136,-0.21591860951176162,0.27727928727102136,-1.6500848815154905,-0.5610169423648694,0.41444266589905643,0.5219621192343361,-0.06334568,0.004285926,0.069294388,-0.21498515,-0.02346059,0.210712429,-0.06334366176162529,0.004287953021370721,0.06929966200940815,-0.21499179986908534,-0.023459618439865083,0.21072007736824266,0.004167499999997659,-0.0023925000000000196,-0.044440999999999065,0.03343449999999848,0.05489500000000014,-0.032747999999998,0.002972338540633094,-27.045732719448022,13.133368738728025,2.084753101421,0.07670233009951323,0.0004907148876174579,0.6414399804860901,-0.0001000005482364506,0.5414399818804763,0.6414399767787948,-9.999125032140889e-05,0.5414399723995604
0.003,-0.215981961,0.27728357,-1.650015577,-0.561231929,0.414419176,0.52217283,-0.2159819491004744,0.2772835727149752,-1.6500156267573576,-0.5612318996618801,0.4144192614928831,0.5221728042541067,-0.063342549,0.004282489,0.069247181,-0.214948085,-0.02340609,0.210675173,-0.06333958871279739,0.004285443953846646,0.06925475813281809,-0.21495729701068728,-0.023404406173308728,0.21068501977057974,0.003123500000000945,-0.0034374999999999822,-0.04721850000000671,0.037103000000001884,0.05450549999999943,-0.03729900000000441,0.0018953323650284033,-27.04648169305036,13.132896190281619,2.084493411121927,0.07666542300626285,0.0004901922717504492,0.6414399585674826,-0.0001499999855072135,0.5414399593695789,0.6414399529377093,-0.0001499855893981232,0.5414399458200975
0.004,-0.216045302,0.27728785,-1.649946354,-0.561446859,0.414395797,0.522383486,-0.2160452857010156,0.27728785455354854,-1.649946419877674,-0.5614468183488158,0.41439591202242876,0.5223834488985005,-0.063339433,0.004279051,0.069199951,-0.214910944,-0.023351579,0.210637831,-0.06333660054121054,0.004281838573307515,0.06920687968348865,-0.21491868693563562,-0.023349470454325946,0.2106446443938479,0.0031095000000007644,-0.003437999999999608,-0.047240999999999644,0.0371795000000219,0.054517999999999844,-0.037385500000013394,0.0018884615986342712,-27.046648244868827,13.133014798085837,2.084271967603703,0.07665554300117489,0.0004904689012532777,0.6414399273562127,-0.00019999942293428186,0.5414399285745674,0.6414399202024091,-0.00019997991207019295,0.541439910429965
0.005,-0.21610864,0.277292128,-1.649877178,-0.561661751,0.414372473,0.522594105,-0.21610861931403821,0.27729213280090564,-1.6498772608245353,-0.5616616985532372,0.41437261737369163,0.522594053899238,-0.06333633,0.004275613,0.069152699,-0.214873726,-0.023297054,0.210600402,-0.06333361302259725,0.004278247357090405,0.06915905313873286,-0.2148802044214065,-0.0232946487371425,0.21060500073744332,0.0030959999999993215,-0.003438000000000052,-0.04726399999999842,0.03725599999999929,0.05453050000000026,-0.037472000000008165,0.0018820285237214766,-27.04681352455173,13.133131532145832,2.084050750123669,0.0766457189758796,0.000490688052616953,0.6414398876887937,-0.00024999894606441347,0.541439888301738,0.641439878576467,-0.0002499742217637684,0.5414398662174056
0.006,-0.216171975,0.277296402,-1.649808049,-0.561876606,0.414349203,0.522804687,-0.21617194994120106,0.27729640747038675,-1.6498081495544163,-0.5618765403786589,0.41434937744770833,0.5228046198360132,-0.063333241,0.004272175,0.069105423,-0.214836432,-0.023242518,0.210562887,-0.06333062716286217,0.004274669481081008,0.06911127011893503,-0.214841825421593,-0.023239925983311396,0.21056593677523314,0.0030820000000026937,-0.003438500000000122,-0.047287500000003035,0.037332499999976676,0.054543000000000674,-0.03755799999998999,0.001874717643734852,-27.04697951877938,13.133247152640283,2.0838297331304956,0.07663593859535142,0.0004908603592722237,0.6414398390929781,-0.0002999985325752001,0.5414398395853536,0.6414398280632866,-0.00029996852084867984,0.541439813171704
0.007,-0.216235307,0.277300672,-1.649738967,-0.562091424,0.414325988,0.523015231,-0.2162352775859958,0.27730067857350355,-1.6497390860313272,-0.5620913439080413,0.41432619215757305,0.5230151471638326,-0.063330166,0.004268736,0.069058124,-0.214799061,-0.023187968,0.210525286,-0.0633276447947451,0.004271103116808175,0.0690635230890026,-0.21480352938246022,-0.023185290135259932,0.2105273278193471,0.0030685000000012508,-0.0034394999999998177,-0.047309999999995966,0.03740950000000964,0.0545560000000016,-0.03764400000000023,0.0018679898297874896,-27.047147324802438,13.1333626640528,2.083609105625205,0.07662623612772954,0.0004909913197216078,0.6414397815682414,-0.00034999812234120625,0.5414397825145908,0.6414397686658332,-0.0003499628113920549,0.5414397512834924
0.008,-0.216298635,0.277304939,-1.649669932,-0.562306204,0.414302827,0.523225737,-0.2162986022525933,0.2773049461200927,-1.649670070224495,-0.5623061092056637,0.4143030614287857,0.5232256362273624,-0.063327104,0.004265296,0.069010803,-0.214761613,-0.023133406,0.210487599,-0.06332466659749943,0.004267546589151991,0.06901580683222036,-0.21476529762246224,-0.023130728787336394,0.2104890635298606,0.0030549999999927024,-0.0034394999999998177,-0.047332499999996,0.03748649999999998,0.05456799999999973,-0.03773000000001048,0.0018610588927168725,-27.047313138719222,13.133476618142554,2.083388552513874,0.07661654726917336,0.0004910886904648952,0.6414397153776744,-0.00039999713684751935,0.541439716501353,0.6414397003869281,-0.0003999570945312221,0.5414396805455295
0.009,-0.216361961,0.277309203,-1.649600945,-0.562520947,0.414279721,0.523436206,-0.21636192394613163,0.2773092101200204,-1.6496011021086092,-0.5625208363194226,0.41427998519530324,0.5234360872800912,-0.063324056,0.004261857,0.068963459,-0.214724088,-0.023078832,0.210449826,-0.06332169353831292,0.004263999927681725,0.06896811588587706,-0.2147271137588977,-0.023076233482472605,0.21045105272874762,0.0030409999999996273,-0.003439500000000706,-0.04735550000000188,0.037563000000005786,0.05457999999999963,-0.03781650000000525,0.001853127230273775,-27.047478460707122,13.133589313305155,2.0831680184467123,0.07660689191912361,0.0004911615308664747,0.641439640308414,-0.0004499967904406451,0.5414396410379815,0.6414396232294373,-0.0004499513709883724,0.5414396009508653
